GID;Repite
100505;1
100515;1
101887;1
101903;1
101904;1
101905;1
101907;1
101908;1
101909;1
101912;1
101913;1
101914;1
107398;1
107416;1
107419;1
107421;1
107422;1
107425;1
107426;1
107427;1
107429;1
107431;1
107434;1
107471;1
107479;1
107482;1
107483;1
107484;1
107485;1
107486;1
107491;1
107492;1
107493;1
107843;1
107844;1
107845;1
107852;1
107856;1
107858;1
107859;1
107861;1
107862;1
107864;1
107865;1
107866;1
107867;1
107868;1
107869;1
107870;1
107871;1
107872;1
107873;1
107876;1
107877;1
107878;1
107879;1
107880;1
107883;1
107884;1
107885;1
107890;1
107891;1
107893;1
107895;1
114401;1
114424;1
114441;1
114457;1
114476;1
116852;1
116853;1
124657;1
129052;1
129056;1
129060;1
129069;1
133905;1
133912;1
133914;1
133930;1
133934;1
133943;1
133946;1
133948;1
133952;1
133963;1
133964;1
133965;1
133969;1
133970;1
133971;1
133972;1
133975;1
133991;1
133993;1
133995;1
133996;1
133997;1
133998;1
133999;1
134000;1
134001;1
134002;1
134004;1
134005;1
134006;1
134007;1
134010;1
134011;1
134013;1
134014;1
134015;1
134021;1
134028;1
134029;1
134031;1
134032;1
134033;1
134034;1
134035;1
134036;1
134038;1
134039;1
134040;1
134041;1
134042;1
134043;1
134044;1
134045;1
134046;1
134048;1
134049;1
134058;1
134063;1
134064;1
134065;1
134068;1
134070;1
134072;1
134073;1
134074;1
134076;1
134078;1
134082;1
134083;1
134084;1
134092;1
134182;1
134186;1
134551;1
134664;1
135132;1
136254;1
136892;1
136912;1
136972;1
138052;1
138054;1
138425;1
138446;1
138447;1
138448;1
138459;1
142590;1
142669;1
143772;1
144972;1
145053;1
145072;1
145092;1
151992;1
161472;1
161497;1
164053;1
165532;1
166512;1
167792;1
167972;1
169592;1
170252;1
173372;1
175355;1
175433;1
175434;1
175436;1
175477;1
175478;1
175694;1
175696;1
175915;1
176130;1
176674;1
177274;1
177291;1
177292;1
177398;1
177399;1
177400;1
177401;1
177402;1
177417;1
178984;1
179029;1
179074;1
179124;1
179170;1
179251;1
180113;1
180419;1
180420;1
180548;1
180715;1
180811;1
180868;1
180991;1
181039;1
181040;1
181174;1
181204;1
181249;1
181329;1
181411;1
181571;1
181614;1
181615;1
181660;1
181685;1
181686;1
181699;1
181700;1
181721;1
181722;1
181723;1
181724;1
181755;1
181805;1
181836;1
181895;1
181896;1
181897;1
181898;1
181899;1
181945;1
181952;1
182038;1
182087;1
182198;1
182202;1
182203;1
182278;1
182853;1
182953;1
182971;1
183014;1
183015;1
183024;1
183039;1
183138;1
183139;1
183183;1
183273;1
183276;1
183637;1
183638;1
183746;1
183747;1
183800;1
183832;1
183873;1
183874;1
183904;1
183905;1
183906;1
183907;1
183910;1
183911;1
