GID;Repite
100768;1
100770;1
100772;1
100773;1
100774;1
100775;1
100776;1
100777;1
100778;1
100779;1
100780;1
100787;1
114441;1
114457;1
114476;1
116757;1
116759;1
124138;1
124167;1
124170;1
129526;1
129536;1
132492;1
133994;1
134002;1
134004;1
134005;1
134007;1
134064;1
134083;1
134084;1
134664;1
136112;1
136972;1
139094;1
139096;1
139129;1
139135;1
139138;1
139149;1
139163;1
139170;1
139290;1
148032;1
148052;1
148975;1
160012;1
166493;1
166494;1
166572;1
167052;1
173372;1
176369;1
177143;1
177491;1
179074;1
179626;1
179627;1
179645;1
179646;1
179647;1
179818;1
179820;1
179821;1
179822;1
179823;1
179824;1
179825;1
179827;1
179828;1
179830;1
179831;1
179957;1
179958;1
179959;1
179960;1
179961;1
179962;1
179963;1
179964;1
179965;1
179968;1
180159;1
180192;1
180302;1
180420;1
180435;1
180637;1
180643;1
180739;1
180801;1
181176;1
181287;1
181288;1
181380;1
181521;1
181538;1
181539;1
181662;1
181663;1
181664;1
181793;1
181846;1
181847;1
181895;1
181896;1
181897;1
182087;1
182093;1
182119;1
182153;1
182215;1
182316;1
182317;1
182318;1
183024;1
183047;1
183087;1
183148;1
183150;1
183151;1
183279;1
183280;1
183519;1
183520;1
