GID;Repite
101350;1
101372;1
101377;1
101378;1
102046;1
102048;1
102096;1
102097;1
102098;1
102100;1
102101;1
102102;1
102103;1
106997;1
114232;1
114250;1
114255;1
114256;1
114276;1
114433;1
114488;1
114493;1
114494;1
114495;1
114501;1
114502;1
114504;1
114509;1
114512;1
114516;1
114517;1
115332;1
116052;1
117162;1
124091;1
124094;1
124095;1
124137;1
124138;1
124167;1
129496;1
129512;1
129513;1
129517;1
129518;1
129545;1
129546;1
129550;1
129551;1
129556;1
129564;1
129565;1
129566;1
129574;1
134418;1
134487;1
134511;1
136473;1
136493;1
138340;1
138403;1
138697;1
138699;1
138702;1
138703;1
138704;1
138706;1
138707;1
138708;1
138709;1
138710;1
138711;1
139209;1
139225;1
139267;1
142439;1
143472;1
144172;1
146752;1
150852;1
155492;1
159312;1
161392;1
170492;1
173792;1
175891;1
176062;1
176202;1
177157;1
177158;1
177159;1
177279;1
177476;1
178724;1
179084;1
179235;1
179307;1
179591;1
179744;1
180321;1
180345;1
180882;1
180940;1
181054;1
181055;1
181056;1
181057;1
181058;1
181059;1
181108;1
181109;1
181110;1
181117;1
181210;1
181348;1
181437;1
181462;1
181463;1
181760;1
181761;1
181986;1
181993;1
181994;1
181995;1
182006;1
182007;1
182047;1
182143;1
182261;1
182290;1
182936;1
183096;1
183097;1
183098;1
183099;1
183100;1
183132;1
183193;1
183194;1
183197;1
183562;1
