GID;Repite
105489;1
107513;1
107523;1
107524;1
107528;1
107533;1
107534;1
107540;1
107541;1
107542;1
107544;1
107549;1
107607;1
107839;1
107843;1
107844;1
107845;1
107848;1
107849;1
107852;1
107856;1
107858;1
107859;1
107861;1
107862;1
107864;1
107865;1
107866;1
107867;1
107868;1
107869;1
107870;1
107871;1
107872;1
107873;1
107876;1
107877;1
107878;1
107879;1
107880;1
107881;1
107883;1
107884;1
107890;1
107891;1
107893;1
107894;1
107895;1
107896;1
107897;1
107898;1
107899;1
107900;1
107901;1
107903;1
107904;1
107906;1
107910;1
107911;1
107917;1
107918;1
107952;1
107953;1
113892;1
115698;1
116589;1
116590;1
116656;1
117206;1
117392;1
124784;1
124785;1
124786;1
124788;1
124789;1
124801;1
124802;1
124803;1
124807;1
124808;1
124832;1
124834;1
124836;1
124837;1
124838;1
124840;1
124842;1
124866;1
124868;1
124870;1
125192;1
129133;1
129138;1
129143;1
129154;1
129361;1
129409;1
129517;1
134359;1
134369;1
136292;1
139207;1
139211;1
139212;1
139232;1
139234;1
139253;1
139254;1
139269;1
139273;1
139283;1
139290;1
142179;1
142180;1
142262;1
142273;1
142547;1
142548;1
146072;1
146092;1
158516;1
158532;1
161172;1
163552;1
174012;1
174092;1
175101;1
175433;1
175434;1
175436;1
175694;1
175696;1
176215;1
177019;1
177020;1
177021;1
177023;1
177025;1
177026;1
177027;1
177028;1
177029;1
177120;1
177331;1
177332;1
177333;1
177335;1
178963;1
178964;1
178965;1
178966;1
179124;1
179136;1
179137;1
179212;1
179247;1
179874;1
179875;1
179881;1
180032;1
180077;1
180113;1
180268;1
180602;1
180762;1
180868;1
180882;1
181333;1
181399;1
181400;1
181426;1
181457;1
181521;1
181793;1
181804;1
181805;1
181839;1
181840;1
181952;1
182142;1
182989;1
183047;1
183138;1
183139;1
183379;1
183426;1
183619;1
183637;1
183638;1
183800;1
183959;1
183960;1
183962;1
