GID;Repite
101524;1
102154;1
102165;1
102256;1
102263;1
105443;1
107126;1
116671;1
116765;1
116776;1
116794;1
116799;1
116800;1
116801;1
116838;1
116845;1
124698;1
124699;1
124732;1
124982;1
124983;1
124984;1
124985;1
124986;1
125028;1
125064;1
129317;1
132492;1
134993;1
141718;1
141719;1
142178;1
142179;1
142180;1
142246;1
142247;1
142262;1
142276;1
142277;1
142278;1
145932;1
149632;1
171653;1
176208;1
178935;1
179709;1
179710;1
179711;1
179712;1
179713;1
179752;1
180013;1
180014;1
181291;1
181596;1
181694;1
181934;1
183351;1
183436;1
183619;1
183620;1
183622;1
183696;1
183926;1
183994;1
184237;1
184238;1
184299;1
184300;1
184301;1
184302;1
184431;1
184443;1
184444;1
