GID;Repite
105658;1
107874;1
116663;1
116711;1
116712;1
116714;1
124157;1
124992;1
125007;1
129372;1
129394;1
129400;1
129401;1
129402;1
129423;1
129424;1
129443;1
129444;1
129449;1
129461;1
129463;1
129466;1
129467;1
129468;1
129469;1
130272;1
141462;1
142110;1
142111;1
142112;1
142113;1
142114;1
142115;1
142116;1
142158;1
142159;1
142162;1
142163;1
142164;1
142165;1
142166;1
142168;1
147032;1
147172;1
152114;1
159872;1
165656;1
173212;1
175910;1
175911;1
175942;1
176345;1
176524;1
177290;1
179640;1
179641;1
179642;1
179643;1
179644;1
179645;1
179646;1
179647;1
179709;1
179710;1
179711;1
179712;1
179713;1
179844;1
179956;1
179957;1
179958;1
179959;1
179961;1
179962;1
179963;1
179964;1
179965;1
180013;1
180014;1
180605;1
180667;1
181806;1
182084;1
182085;1
182309;1
182310;1
182311;1
182312;1
182313;1
182320;1
182321;1
183057;1
183090;1
183120;1
