GID;Repite
101581;1
104375;1
104420;1
104422;1
107155;1
107601;1
107713;1
107843;1
107844;1
107852;1
107856;1
107858;1
107859;1
107861;1
107862;1
107864;1
107865;1
107866;1
107867;1
107868;1
107869;1
107870;1
107871;1
107872;1
107873;1
107877;1
107878;1
107879;1
107880;1
107883;1
107884;1
107885;1
107890;1
107891;1
107893;1
107895;1
114352;1
114367;1
114368;1
114381;1
114382;1
114384;1
124177;1
124181;1
124184;1
124204;1
124205;1
124210;1
124211;1
124212;1
124234;1
124237;1
124240;1
124241;1
124242;1
124243;1
124256;1
124265;1
124268;1
124280;1
124905;1
125916;1
125918;1
125919;1
125920;1
125921;1
125922;1
125923;1
125924;1
125928;1
125951;1
125972;1
125976;1
125977;1
125982;1
125991;1
125999;1
126007;1
126008;1
126010;1
126033;1
126034;1
126035;1
126036;1
126061;1
126075;1
129424;1
129443;1
131433;1
134000;1
134001;1
134006;1
134007;1
134010;1
134014;1
134021;1
134040;1
134042;1
134043;1
134044;1
134045;1
134046;1
134063;1
134070;1
134074;1
134083;1
134084;1
134376;1
134377;1
134421;1
134422;1
134428;1
134432;1
134433;1
134434;1
136892;1
136912;1
136972;1
137193;1
137212;1
137217;1
138425;1
138426;1
138428;1
138429;1
138433;1
138452;1
138454;1
138457;1
138458;1
138459;1
138461;1
138489;1
138491;1
138741;1
138818;1
138819;1
138821;1
138822;1
138823;1
138825;1
138826;1
138829;1
138830;1
138832;1
138839;1
138840;1
138841;1
138843;1
138853;1
138854;1
138858;1
138891;1
138892;1
138894;1
138895;1
138896;1
138897;1
138900;1
138902;1
138903;1
138904;1
139094;1
139096;1
139097;1
139116;1
139118;1
139119;1
139129;1
139134;1
139135;1
139138;1
139149;1
139163;1
139164;1
139165;1
139167;1
139168;1
139170;1
139188;1
139712;1
139732;1
141052;1
141072;1
141388;1
141432;1
143412;1
143674;1
145053;1
145072;1
148975;1
161734;1
164012;1
164033;1
164053;1
164652;1
175433;1
175434;1
175436;1
175694;1
175696;1
176233;1
176300;1
176301;1
176652;1
176777;1
177090;1
177093;1
177096;1
177097;1
177098;1
177099;1
177100;1
177101;1
177103;1
177104;1
177105;1
177106;1
177107;1
177108;1
177109;1
177110;1
177111;1
177112;1
177113;1
177114;1
177116;1
177117;1
177118;1
177119;1
177120;1
177121;1
177122;1
177123;1
177124;1
177125;1
177126;1
177127;1
177128;1
177129;1
177130;1
177131;1
177132;1
177134;1
177135;1
177252;1
177278;1
177293;1
177294;1
177295;1
177469;1
178506;1
178507;1
179124;1
179228;1
179300;1
179644;1
179711;1
179712;1
179713;1
179742;1
180113;1
180150;1
180214;1
180234;1
180302;1
180435;1
180496;1
180588;1
180589;1
180636;1
180637;1
180662;1
180663;1
180739;1
180801;1
180868;1
180941;1
180968;1
181043;1
181079;1
181097;1
181176;1
181287;1
181288;1
181323;1
181328;1
181411;1
181538;1
181539;1
181600;1
181603;1
181614;1
181662;1
181663;1
181664;1
181805;1
181896;1
181897;1
181952;1
182306;1
182313;1
182968;1
182971;1
183138;1
183139;1
183196;1
183390;1
183495;1
183503;1
183637;1
183638;1
183706;1
183756;1
183800;1
183813;1
183897;1
183904;1
183905;1
183944;1
183956;1
183957;1
183958;1
183982;1
184062;1
184105;1
184109;1
184130;1
184276;1
184313;1
