GID;Repite
100460;1
100461;1
100462;1
100463;1
100464;1
102277;1
102288;1
102289;1
102316;1
102354;1
102355;1
102359;1
102360;1
102361;1
102362;1
102364;1
102366;1
102367;1
102368;1
102370;1
102371;1
107843;1
107844;1
107852;1
107856;1
107858;1
107859;1
107861;1
107862;1
107864;1
107865;1
107866;1
107867;1
107868;1
107869;1
107870;1
107871;1
107872;1
107873;1
107876;1
107878;1
107879;1
107880;1
107883;1
107884;1
107885;1
107890;1
107891;1
107893;1
107895;1
114235;1
114240;1
114242;1
114243;1
114253;1
114257;1
114263;1
114265;1
114266;1
114267;1
114272;1
114273;1
116693;1
122072;1
124205;1
124522;1
124524;1
124525;1
124567;1
124746;1
129189;1
129263;1
129264;1
134165;1
134166;1
138486;1
141552;1
169132;1
175433;1
175434;1
175436;1
175694;1
175696;1
176396;1
176405;1
176788;1
176918;1
177124;1
177125;1
177127;1
177128;1
177129;1
177130;1
177131;1
177132;1
177134;1
177135;1
177252;1
178935;1
179124;1
179209;1
179210;1
179231;1
179257;1
180113;1
180390;1
180410;1
180439;1
180609;1
180803;1
180868;1
181805;1
181952;1
182023;1
182237;1
182322;1
182866;1
182867;1
182881;1
182882;1
182883;1
182884;1
182885;1
182886;1
183016;1
183072;1
183138;1
183139;1
183495;1
183637;1
183638;1
183800;1
183982;1
184243;1
184418;1
184471;1
184483;1
184487;1
184488;1
