GID;Repite
101333;1
101334;1
101336;1
101337;1
101391;1
101393;1
101395;1
101396;1
101406;1
101409;1
101410;1
104852;1
107843;1
107844;1
107845;1
107852;1
107856;1
107858;1
107859;1
107861;1
107862;1
107864;1
107865;1
107866;1
107867;1
107868;1
107869;1
107870;1
107871;1
107872;1
107873;1
107876;1
107877;1
107878;1
107879;1
107880;1
107883;1
107884;1
107885;1
107890;1
107891;1
107893;1
107895;1
114284;1
114303;1
114329;1
114441;1
114457;1
114476;1
114484;1
114485;1
116757;1
116759;1
116760;1
116767;1
116768;1
116769;1
116793;1
116809;1
116810;1
116812;1
116815;1
116824;1
116825;1
116828;1
116854;1
116857;1
116858;1
121355;1
121417;1
124177;1
124178;1
124179;1
124200;1
124232;1
124264;1
124265;1
124267;1
124268;1
134100;1
134101;1
134102;1
134103;1
134105;1
134106;1
134107;1
134118;1
134120;1
134131;1
134132;1
134135;1
134142;1
134143;1
134144;1
134145;1
134146;1
134152;1
134153;1
134165;1
134166;1
134170;1
134173;1
134176;1
134178;1
134180;1
134348;1
134435;1
134436;1
134448;1
136112;1
136779;1
137133;1
137412;1
138757;1
142489;1
142852;1
143632;1
143872;1
150072;1
155952;1
165252;1
169132;1
173272;1
173332;1
175433;1
175434;1
175436;1
175694;1
175696;1
175730;1
176240;1
176329;1
176383;1
176384;1
176386;1
176387;1
176388;1
176389;1
176570;1
177446;1
177447;1
179065;1
179124;1
179188;1
179257;1
179338;1
179742;1
180113;1
180364;1
180439;1
180492;1
180671;1
180845;1
180868;1
181335;1
181336;1
181337;1
181794;1
181805;1
181837;1
181900;1
181901;1
181902;1
181903;1
181952;1
182111;1
182136;1
183016;1
183017;1
183019;1
183020;1
183072;1
183138;1
183139;1
183268;1
183427;1
183540;1
183637;1
183638;1
183798;1
183800;1
183979;1
183982;1
184000;1
184149;1
