GID;Repite
100424;1
100427;1
107455;1
107459;1
107467;1
107468;1
107479;1
107491;1
114240;1
114244;1
114247;1
114253;1
114255;1
114259;1
114263;1
114275;1
124423;1
125008;1
125011;1
126078;1
126095;1
126098;1
126105;1
126107;1
133632;1
134110;1
134136;1
134138;1
134188;1
138555;1
138818;1
138819;1
138821;1
138822;1
138823;1
138858;1
138891;1
138892;1
138894;1
138900;1
138902;1
138903;1
139712;1
141890;1
141892;1
141894;1
141899;1
141900;1
141944;1
143233;1
143674;1
149552;1
150877;1
169592;1
172932;1
173592;1
173812;1
176201;1
176681;1
176682;1
176684;1
176685;1
176686;1
176687;1
176688;1
176694;1
176695;1
176697;1
176698;1
176702;1
176703;1
176704;1
176705;1
176706;1
176707;1
176708;1
176709;1
176710;1
176715;1
176716;1
176717;1
176718;1
176719;1
176720;1
176778;1
176948;1
176949;1
176950;1
176951;1
176952;1
176953;1
176954;1
176955;1
176956;1
176957;1
176958;1
176959;1
176960;1
176961;1
176962;1
176963;1
176964;1
176965;1
176966;1
176968;1
176969;1
176970;1
176971;1
176972;1
176973;1
176974;1
176975;1
176976;1
176977;1
176978;1
176979;1
176980;1
176982;1
176983;1
177030;1
177031;1
177180;1
177181;1
177182;1
177183;1
177184;1
177185;1
177186;1
177187;1
177188;1
177189;1
177190;1
177191;1
177192;1
177193;1
177194;1
177195;1
177196;1
177197;1
177198;1
177199;1
177200;1
177201;1
177278;1
177382;1
177384;1
177403;1
177404;1
177476;1
177477;1
177478;1
179250;1
179251;1
179260;1
180167;1
180232;1
180277;1
180329;1
180833;1
180837;1
180889;1
181213;1
181214;1
181456;1
181851;1
182036;1
182258;1
182259;1
183164;1
183196;1
183451;1
